"['Odmiana wyrazu: _dokonywaæ', 'Czas przesz³y, l.poj: Ja _dokonywa³em/_dokonywa³am/_dokonywa³om', 'Czas przesz³y, l.poj: Ty _dokonywa³eœ/_dokonywa³aœ/_dokonywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono _dokonywa³/_dokonywa³a/_dokonywa³o', 'Czas przesz³y, l.m: My _dokonywaliœmy/_dokonywa³œmy', 'Czas przesz³y, l.m: Wy _dokonywaliœcie/_dokonywa³yœcie', 'Czas przesz³y, l.m: Oni/One _dokonywali/_dokonywa³y', 'Czas terazniejszy, l.poj: Ja _dokonujê', 'Czas terazniejszy, l.poj: Ty _dokonujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono _dokonuje', 'Czas terazniejszy, l.m: My _dokonujemy', 'Czas terazniejszy, l.m: Wy _dokonujecie', 'Czas terazniejszy, l.m: Oni/One _dokonuj¹', 'Czas przysz³y, l.poj: Ja _dokonam', 'Czas przysz³y, l.poj: Ty _dokonasz', 'Czas przysz³y, l.poj: On/Ona/Ono _dokona', 'Czas przysz³y, l.m: My _dokonamy', 'Czas przysz³y, l.m: Wy _dokonacie', 'Czas przysz³y, l.m: Oni/One _dokonaj¹']"
"['Odmiana wyrazu: blajtlowaæ', 'Czas przesz³y, l.poj: Ja blajtlowa³em/blajtlowa³am/blajtlowa³om', 'Czas przesz³y, l.poj: Ty blajtlowa³eœ/blajtlowa³aœ/blajtlowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono blajtlowa³/blajtlowa³a/blajtlowa³o', 'Czas przesz³y, l.m: My blajtlowaliœmy/blajtlowa³œmy', 'Czas przesz³y, l.m: Wy blajtlowaliœcie/blajtlowa³yœcie', 'Czas przesz³y, l.m: Oni/One blajtlowali/blajtlowa³y', 'Czas terazniejszy, l.poj: Ja blajtlujê', 'Czas terazniejszy, l.poj: Ty blajtlujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono blajtluje', 'Czas terazniejszy, l.m: My blajtlujemy', 'Czas terazniejszy, l.m: Wy blajtlujecie', 'Czas terazniejszy, l.m: Oni/One blajtluj¹', 'Czas przysz³y, l.poj: Ja blajtlam', 'Czas przysz³y, l.poj: Ty blajtlasz', 'Czas przysz³y, l.poj: On/Ona/Ono blajtla', 'Czas przysz³y, l.m: My blajtlamy', 'Czas przysz³y, l.m: Wy blajtlacie', 'Czas przysz³y, l.m: Oni/One blajtlaj¹']"
"['Odmiana wyrazu: blakn¹æ', 'Czas przesz³y, l.poj: Ja blakn¹³em/blakn¹³am/blakn¹³om', 'Czas przesz³y, l.poj: Ty blakn¹³eœ/blakn¹³aœ/blakn¹³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono blakn¹³/blakn¹³a/blakn¹³o', 'Czas przesz³y, l.m: My blakn¹liœmy/blakn¹³œmy', 'Czas przesz³y, l.m: Wy blakn¹liœcie/blakn¹³yœcie', 'Czas przesz³y, l.m: Oni/One blakn¹li/blakn¹³y', 'Czas terazniejszy, l.poj: Ja blaujê', 'Czas terazniejszy, l.poj: Ty blaujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono blauje', 'Czas terazniejszy, l.m: My blaujemy', 'Czas terazniejszy, l.m: Wy blaujecie', 'Czas terazniejszy, l.m: Oni/One blauj¹', 'Czas przysz³y, l.poj: Ja blaam', 'Czas przysz³y, l.poj: Ty blaasz', 'Czas przysz³y, l.poj: On/Ona/Ono blaa', 'Czas przysz³y, l.m: My blaamy', 'Czas przysz³y, l.m: Wy blaacie', 'Czas przysz³y, l.m: Oni/One blaaj¹']"
"['Odmiana wyrazu: branzlowaæ', 'Czas przesz³y, l.poj: Ja branzlowa³em/branzlowa³am/branzlowa³om', 'Czas przesz³y, l.poj: Ty branzlowa³eœ/branzlowa³aœ/branzlowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono branzlowa³/branzlowa³a/branzlowa³o', 'Czas przesz³y, l.m: My branzlowaliœmy/branzlowa³œmy', 'Czas przesz³y, l.m: Wy branzlowaliœcie/branzlowa³yœcie', 'Czas przesz³y, l.m: Oni/One branzlowali/branzlowa³y', 'Czas terazniejszy, l.poj: Ja branzlujê', 'Czas terazniejszy, l.poj: Ty branzlujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono branzluje', 'Czas terazniejszy, l.m: My branzlujemy', 'Czas terazniejszy, l.m: Wy branzlujecie', 'Czas terazniejszy, l.m: Oni/One branzluj¹', 'Czas przysz³y, l.poj: Ja branzlam', 'Czas przysz³y, l.poj: Ty branzlasz', 'Czas przysz³y, l.poj: On/Ona/Ono branzla', 'Czas przysz³y, l.m: My branzlamy', 'Czas przysz³y, l.m: Wy branzlacie', 'Czas przysz³y, l.m: Oni/One branzlaj¹']"
"['Odmiana wyrazu: brzyæ', 'Czas przesz³y, l.poj: Ja brzy³em/brzy³am/brzy³om', 'Czas przesz³y, l.poj: Ty brzy³eœ/brzy³aœ/brzy³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono brzy³/brzy³a/brzy³o', 'Czas przesz³y, l.m: My brzyliœmy/brzy³œmy', 'Czas przesz³y, l.m: Wy brzyliœcie/brzy³yœcie', 'Czas przesz³y, l.m: Oni/One brzyli/brzy³y', 'Czas terazniejszy, l.poj: Ja bujê', 'Czas terazniejszy, l.poj: Ty bujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono buje', 'Czas terazniejszy, l.m: My bujemy', 'Czas terazniejszy, l.m: Wy bujecie', 'Czas terazniejszy, l.m: Oni/One buj¹', 'Czas przysz³y, l.poj: Ja bam', 'Czas przysz³y, l.poj: Ty basz', 'Czas przysz³y, l.poj: On/Ona/Ono ba', 'Czas przysz³y, l.m: My bamy', 'Czas przysz³y, l.m: Wy bacie', 'Czas przysz³y, l.m: Oni/One baj¹']"
"['Odmiana wyrazu: interioryzowaæ', 'Czas przesz³y, l.poj: Ja interioryzowa³em/interioryzowa³am/interioryzowa³om', 'Czas przesz³y, l.poj: Ty interioryzowa³eœ/interioryzowa³aœ/interioryzowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono interioryzowa³/interioryzowa³a/interioryzowa³o', 'Czas przesz³y, l.m: My interioryzowaliœmy/interioryzowa³œmy', 'Czas przesz³y, l.m: Wy interioryzowaliœcie/interioryzowa³yœcie', 'Czas przesz³y, l.m: Oni/One interioryzowali/interioryzowa³y', 'Czas terazniejszy, l.poj: Ja interioryzujê', 'Czas terazniejszy, l.poj: Ty interioryzujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono interioryzuje', 'Czas terazniejszy, l.m: My interioryzujemy', 'Czas terazniejszy, l.m: Wy interioryzujecie', 'Czas terazniejszy, l.m: Oni/One interioryzuj¹', 'Czas przysz³y, l.poj: Ja interioryzam', 'Czas przysz³y, l.poj: Ty interioryzasz', 'Czas przysz³y, l.poj: On/Ona/Ono interioryza', 'Czas przysz³y, l.m: My interioryzamy', 'Czas przysz³y, l.m: Wy interioryzacie', 'Czas przysz³y, l.m: Oni/One interioryzaj¹']"
"['Odmiana wyrazu: markowaæ', 'Czas przesz³y, l.poj: Ja markowa³em/markowa³am/markowa³om', 'Czas przesz³y, l.poj: Ty markowa³eœ/markowa³aœ/markowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono markowa³/markowa³a/markowa³o', 'Czas przesz³y, l.m: My markowaliœmy/markowa³œmy', 'Czas przesz³y, l.m: Wy markowaliœcie/markowa³yœcie', 'Czas przesz³y, l.m: Oni/One markowali/markowa³y', 'Czas terazniejszy, l.poj: Ja markujê', 'Czas terazniejszy, l.poj: Ty markujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono markuje', 'Czas terazniejszy, l.m: My markujemy', 'Czas terazniejszy, l.m: Wy markujecie', 'Czas terazniejszy, l.m: Oni/One markuj¹', 'Czas przysz³y, l.poj: Ja markam', 'Czas przysz³y, l.poj: Ty markasz', 'Czas przysz³y, l.poj: On/Ona/Ono marka', 'Czas przysz³y, l.m: My markamy', 'Czas przysz³y, l.m: Wy markacie', 'Czas przysz³y, l.m: Oni/One markaj¹']"
"['Odmiana wyrazu: miesiæ', 'Czas przesz³y, l.poj: Ja miesi³em/miesi³am/miesi³om', 'Czas przesz³y, l.poj: Ty miesi³eœ/miesi³aœ/miesi³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono miesi³/miesi³a/miesi³o', 'Czas przesz³y, l.m: My miesiliœmy/miesi³œmy', 'Czas przesz³y, l.m: Wy miesiliœcie/miesi³yœcie', 'Czas przesz³y, l.m: Oni/One miesili/miesi³y', 'Czas terazniejszy, l.poj: Ja miujê', 'Czas terazniejszy, l.poj: Ty miujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono miuje', 'Czas terazniejszy, l.m: My miujemy', 'Czas terazniejszy, l.m: Wy miujecie', 'Czas terazniejszy, l.m: Oni/One miuj¹', 'Czas przysz³y, l.poj: Ja miam', 'Czas przysz³y, l.poj: Ty miasz', 'Czas przysz³y, l.poj: On/Ona/Ono mia', 'Czas przysz³y, l.m: My miamy', 'Czas przysz³y, l.m: Wy miacie', 'Czas przysz³y, l.m: Oni/One miaj¹']"
"['Odmiana wyrazu: nadziewaæ', 'Czas przesz³y, l.poj: Ja nadziewa³em/nadziewa³am/nadziewa³om', 'Czas przesz³y, l.poj: Ty nadziewa³eœ/nadziewa³aœ/nadziewa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono nadziewa³/nadziewa³a/nadziewa³o', 'Czas przesz³y, l.m: My nadziewaliœmy/nadziewa³œmy', 'Czas przesz³y, l.m: Wy nadziewaliœcie/nadziewa³yœcie', 'Czas przesz³y, l.m: Oni/One nadziewali/nadziewa³y', 'Czas terazniejszy, l.poj: Ja nadziujê', 'Czas terazniejszy, l.poj: Ty nadziujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono nadziuje', 'Czas terazniejszy, l.m: My nadziujemy', 'Czas terazniejszy, l.m: Wy nadziujecie', 'Czas terazniejszy, l.m: Oni/One nadziuj¹', 'Czas przysz³y, l.poj: Ja nadziam', 'Czas przysz³y, l.poj: Ty nadziasz', 'Czas przysz³y, l.poj: On/Ona/Ono nadzia', 'Czas przysz³y, l.m: My nadziamy', 'Czas przysz³y, l.m: Wy nadziacie', 'Czas przysz³y, l.m: Oni/One nadziaj¹']"
"['Odmiana wyrazu: obezsiliæ', 'Czas przesz³y, l.poj: Ja obezsili³em/obezsili³am/obezsili³om', 'Czas przesz³y, l.poj: Ty obezsili³eœ/obezsili³aœ/obezsili³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono obezsili³/obezsili³a/obezsili³o', 'Czas przesz³y, l.m: My obezsililiœmy/obezsili³œmy', 'Czas przesz³y, l.m: Wy obezsililiœcie/obezsili³yœcie', 'Czas przesz³y, l.m: Oni/One obezsilili/obezsili³y', 'Czas terazniejszy, l.poj: Ja obezsujê', 'Czas terazniejszy, l.poj: Ty obezsujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono obezsuje', 'Czas terazniejszy, l.m: My obezsujemy', 'Czas terazniejszy, l.m: Wy obezsujecie', 'Czas terazniejszy, l.m: Oni/One obezsuj¹', 'Czas przysz³y, l.poj: Ja obezsam', 'Czas przysz³y, l.poj: Ty obezsasz', 'Czas przysz³y, l.poj: On/Ona/Ono obezsa', 'Czas przysz³y, l.m: My obezsamy', 'Czas przysz³y, l.m: Wy obezsacie', 'Czas przysz³y, l.m: Oni/One obezsaj¹']"
"['Odmiana wyrazu: odczyniæ', 'Czas przesz³y, l.poj: Ja odczyni³em/odczyni³am/odczyni³om', 'Czas przesz³y, l.poj: Ty odczyni³eœ/odczyni³aœ/odczyni³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono odczyni³/odczyni³a/odczyni³o', 'Czas przesz³y, l.m: My odczyniliœmy/odczyni³œmy', 'Czas przesz³y, l.m: Wy odczyniliœcie/odczyni³yœcie', 'Czas przesz³y, l.m: Oni/One odczynili/odczyni³y', 'Czas terazniejszy, l.poj: Ja odczujê', 'Czas terazniejszy, l.poj: Ty odczujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono odczuje', 'Czas terazniejszy, l.m: My odczujemy', 'Czas terazniejszy, l.m: Wy odczujecie', 'Czas terazniejszy, l.m: Oni/One odczuj¹', 'Czas przysz³y, l.poj: Ja odczam', 'Czas przysz³y, l.poj: Ty odczasz', 'Czas przysz³y, l.poj: On/Ona/Ono odcza', 'Czas przysz³y, l.m: My odczamy', 'Czas przysz³y, l.m: Wy odczacie', 'Czas przysz³y, l.m: Oni/One odczaj¹']"
"['Odmiana wyrazu: odzmys³owiæ', 'Czas przesz³y, l.poj: Ja odzmys³owi³em/odzmys³owi³am/odzmys³owi³om', 'Czas przesz³y, l.poj: Ty odzmys³owi³eœ/odzmys³owi³aœ/odzmys³owi³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono odzmys³owi³/odzmys³owi³a/odzmys³owi³o', 'Czas przesz³y, l.m: My odzmys³owiliœmy/odzmys³owi³œmy', 'Czas przesz³y, l.m: Wy odzmys³owiliœcie/odzmys³owi³yœcie', 'Czas przesz³y, l.m: Oni/One odzmys³owili/odzmys³owi³y', 'Czas terazniejszy, l.poj: Ja odzmys³ujê', 'Czas terazniejszy, l.poj: Ty odzmys³ujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono odzmys³uje', 'Czas terazniejszy, l.m: My odzmys³ujemy', 'Czas terazniejszy, l.m: Wy odzmys³ujecie', 'Czas terazniejszy, l.m: Oni/One odzmys³uj¹', 'Czas przysz³y, l.poj: Ja odzmys³am', 'Czas przysz³y, l.poj: Ty odzmys³asz', 'Czas przysz³y, l.poj: On/Ona/Ono odzmys³a', 'Czas przysz³y, l.m: My odzmys³amy', 'Czas przysz³y, l.m: Wy odzmys³acie', 'Czas przysz³y, l.m: Oni/One odzmys³aj¹']"
"['Odmiana wyrazu: podczytywaæ', 'Czas przesz³y, l.poj: Ja podczytywa³em/podczytywa³am/podczytywa³om', 'Czas przesz³y, l.poj: Ty podczytywa³eœ/podczytywa³aœ/podczytywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podczytywa³/podczytywa³a/podczytywa³o', 'Czas przesz³y, l.m: My podczytywaliœmy/podczytywa³œmy', 'Czas przesz³y, l.m: Wy podczytywaliœcie/podczytywa³yœcie', 'Czas przesz³y, l.m: Oni/One podczytywali/podczytywa³y', 'Czas terazniejszy, l.poj: Ja podczytujê', 'Czas terazniejszy, l.poj: Ty podczytujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podczytuje', 'Czas terazniejszy, l.m: My podczytujemy', 'Czas terazniejszy, l.m: Wy podczytujecie', 'Czas terazniejszy, l.m: Oni/One podczytuj¹', 'Czas przysz³y, l.poj: Ja podczytam', 'Czas przysz³y, l.poj: Ty podczytasz', 'Czas przysz³y, l.poj: On/Ona/Ono podczyta', 'Czas przysz³y, l.m: My podczytamy', 'Czas przysz³y, l.m: Wy podczytacie', 'Czas przysz³y, l.m: Oni/One podczytaj¹']"
"['Odmiana wyrazu: podpajaæ', 'Czas przesz³y, l.poj: Ja podpaja³em/podpaja³am/podpaja³om', 'Czas przesz³y, l.poj: Ty podpaja³eœ/podpaja³aœ/podpaja³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podpaja³/podpaja³a/podpaja³o', 'Czas przesz³y, l.m: My podpajaliœmy/podpaja³œmy', 'Czas przesz³y, l.m: Wy podpajaliœcie/podpaja³yœcie', 'Czas przesz³y, l.m: Oni/One podpajali/podpaja³y', 'Czas terazniejszy, l.poj: Ja podpujê', 'Czas terazniejszy, l.poj: Ty podpujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podpuje', 'Czas terazniejszy, l.m: My podpujemy', 'Czas terazniejszy, l.m: Wy podpujecie', 'Czas terazniejszy, l.m: Oni/One podpuj¹', 'Czas przysz³y, l.poj: Ja podpam', 'Czas przysz³y, l.poj: Ty podpasz', 'Czas przysz³y, l.poj: On/Ona/Ono podpa', 'Czas przysz³y, l.m: My podpamy', 'Czas przysz³y, l.m: Wy podpacie', 'Czas przysz³y, l.m: Oni/One podpaj¹']"
"['Odmiana wyrazu: podstrzyæ', 'Czas przesz³y, l.poj: Ja podstrzy³em/podstrzy³am/podstrzy³om', 'Czas przesz³y, l.poj: Ty podstrzy³eœ/podstrzy³aœ/podstrzy³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podstrzy³/podstrzy³a/podstrzy³o', 'Czas przesz³y, l.m: My podstrzyliœmy/podstrzy³œmy', 'Czas przesz³y, l.m: Wy podstrzyliœcie/podstrzy³yœcie', 'Czas przesz³y, l.m: Oni/One podstrzyli/podstrzy³y', 'Czas terazniejszy, l.poj: Ja podstujê', 'Czas terazniejszy, l.poj: Ty podstujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podstuje', 'Czas terazniejszy, l.m: My podstujemy', 'Czas terazniejszy, l.m: Wy podstujecie', 'Czas terazniejszy, l.m: Oni/One podstuj¹', 'Czas przysz³y, l.poj: Ja podstam', 'Czas przysz³y, l.poj: Ty podstasz', 'Czas przysz³y, l.poj: On/Ona/Ono podsta', 'Czas przysz³y, l.m: My podstamy', 'Czas przysz³y, l.m: Wy podstacie', 'Czas przysz³y, l.m: Oni/One podstaj¹']"
