"['Odmiana wyrazu: _dokonywaæ', 'Czas przesz³y, l.poj: Ja _dokonywa³em/_dokonywa³am/_dokonywa³om', 'Czas przesz³y, l.poj: Ty _dokonywa³eœ/_dokonywa³aœ/_dokonywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono _dokonywa³/_dokonywa³a/_dokonywa³o', 'Czas przesz³y, l.m: My _dokonywaliœmy/_dokonywa³œmy', 'Czas przesz³y, l.m: Wy _dokonywaliœcie/_dokonywa³yœcie', 'Czas przesz³y, l.m: Oni/One _dokonywali/_dokonywa³y', 'Czas terazniejszy, l.poj: Ja _dokonujê', 'Czas terazniejszy, l.poj: Ty _dokonujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono _dokonuje', 'Czas terazniejszy, l.m: My _dokonujemy', 'Czas terazniejszy, l.m: Wy _dokonujecie', 'Czas terazniejszy, l.m: Oni/One _dokonuj¹', 'Czas przysz³y, l.poj: Ja _dokonam', 'Czas przysz³y, l.poj: Ty _dokonasz', 'Czas przysz³y, l.poj: On/Ona/Ono _dokona', 'Czas przysz³y, l.m: My _dokonamy', 'Czas przysz³y, l.m: Wy _dokonacie', 'Czas przysz³y, l.m: Oni/One _dokonaj¹']"
"['Odmiana wyrazu: szpaltowaæ', 'Czas przesz³y, l.poj: Ja szpaltowa³em/szpaltowa³am/szpaltowa³om', 'Czas przesz³y, l.poj: Ty szpaltowa³eœ/szpaltowa³aœ/szpaltowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono szpaltowa³/szpaltowa³a/szpaltowa³o', 'Czas przesz³y, l.m: My szpaltowaliœmy/szpaltowa³œmy', 'Czas przesz³y, l.m: Wy szpaltowaliœcie/szpaltowa³yœcie', 'Czas przesz³y, l.m: Oni/One szpaltowali/szpaltowa³y', 'Czas terazniejszy, l.poj: Ja szpaltujê', 'Czas terazniejszy, l.poj: Ty szpaltujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono szpaltuje', 'Czas terazniejszy, l.m: My szpaltujemy', 'Czas terazniejszy, l.m: Wy szpaltujecie', 'Czas terazniejszy, l.m: Oni/One szpaltuj¹', 'Czas przysz³y, l.poj: Ja szpaltam', 'Czas przysz³y, l.poj: Ty szpaltasz', 'Czas przysz³y, l.poj: On/Ona/Ono szpalta', 'Czas przysz³y, l.m: My szpaltamy', 'Czas przysz³y, l.m: Wy szpaltacie', 'Czas przysz³y, l.m: Oni/One szpaltaj¹']"
"['Odmiana wyrazu: trutynowaæ', 'Czas przesz³y, l.poj: Ja trutynowa³em/trutynowa³am/trutynowa³om', 'Czas przesz³y, l.poj: Ty trutynowa³eœ/trutynowa³aœ/trutynowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono trutynowa³/trutynowa³a/trutynowa³o', 'Czas przesz³y, l.m: My trutynowaliœmy/trutynowa³œmy', 'Czas przesz³y, l.m: Wy trutynowaliœcie/trutynowa³yœcie', 'Czas przesz³y, l.m: Oni/One trutynowali/trutynowa³y', 'Czas terazniejszy, l.poj: Ja trutynujê', 'Czas terazniejszy, l.poj: Ty trutynujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono trutynuje', 'Czas terazniejszy, l.m: My trutynujemy', 'Czas terazniejszy, l.m: Wy trutynujecie', 'Czas terazniejszy, l.m: Oni/One trutynuj¹', 'Czas przysz³y, l.poj: Ja trutynam', 'Czas przysz³y, l.poj: Ty trutynasz', 'Czas przysz³y, l.poj: On/Ona/Ono trutyna', 'Czas przysz³y, l.m: My trutynamy', 'Czas przysz³y, l.m: Wy trutynacie', 'Czas przysz³y, l.m: Oni/One trutynaj¹']"
"['Odmiana wyrazu: ubezpieczyæ', 'Czas przesz³y, l.poj: Ja ubezpieczy³em/ubezpieczy³am/ubezpieczy³om', 'Czas przesz³y, l.poj: Ty ubezpieczy³eœ/ubezpieczy³aœ/ubezpieczy³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono ubezpieczy³/ubezpieczy³a/ubezpieczy³o', 'Czas przesz³y, l.m: My ubezpieczyliœmy/ubezpieczy³œmy', 'Czas przesz³y, l.m: Wy ubezpieczyliœcie/ubezpieczy³yœcie', 'Czas przesz³y, l.m: Oni/One ubezpieczyli/ubezpieczy³y', 'Czas terazniejszy, l.poj: Ja ubezpieujê', 'Czas terazniejszy, l.poj: Ty ubezpieujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono ubezpieuje', 'Czas terazniejszy, l.m: My ubezpieujemy', 'Czas terazniejszy, l.m: Wy ubezpieujecie', 'Czas terazniejszy, l.m: Oni/One ubezpieuj¹', 'Czas przysz³y, l.poj: Ja ubezpieam', 'Czas przysz³y, l.poj: Ty ubezpieasz', 'Czas przysz³y, l.poj: On/Ona/Ono ubezpiea', 'Czas przysz³y, l.m: My ubezpieamy', 'Czas przysz³y, l.m: Wy ubezpieacie', 'Czas przysz³y, l.m: Oni/One ubezpieaj¹']"
"['Odmiana wyrazu: uniedostêpniaæ', 'Czas przesz³y, l.poj: Ja uniedostêpnia³em/uniedostêpnia³am/uniedostêpnia³om', 'Czas przesz³y, l.poj: Ty uniedostêpnia³eœ/uniedostêpnia³aœ/uniedostêpnia³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono uniedostêpnia³/uniedostêpnia³a/uniedostêpnia³o', 'Czas przesz³y, l.m: My uniedostêpnialiœmy/uniedostêpnia³œmy', 'Czas przesz³y, l.m: Wy uniedostêpnialiœcie/uniedostêpnia³yœcie', 'Czas przesz³y, l.m: Oni/One uniedostêpniali/uniedostêpnia³y', 'Czas terazniejszy, l.poj: Ja uniedostêpujê', 'Czas terazniejszy, l.poj: Ty uniedostêpujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono uniedostêpuje', 'Czas terazniejszy, l.m: My uniedostêpujemy', 'Czas terazniejszy, l.m: Wy uniedostêpujecie', 'Czas terazniejszy, l.m: Oni/One uniedostêpuj¹', 'Czas przysz³y, l.poj: Ja uniedostêpam', 'Czas przysz³y, l.poj: Ty uniedostêpasz', 'Czas przysz³y, l.poj: On/Ona/Ono uniedostêpa', 'Czas przysz³y, l.m: My uniedostêpamy', 'Czas przysz³y, l.m: Wy uniedostêpacie', 'Czas przysz³y, l.m: Oni/One uniedostêpaj¹']"
"['Odmiana wyrazu: urzynaæ', 'Czas przesz³y, l.poj: Ja urzyna³em/urzyna³am/urzyna³om', 'Czas przesz³y, l.poj: Ty urzyna³eœ/urzyna³aœ/urzyna³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono urzyna³/urzyna³a/urzyna³o', 'Czas przesz³y, l.m: My urzynaliœmy/urzyna³œmy', 'Czas przesz³y, l.m: Wy urzynaliœcie/urzyna³yœcie', 'Czas przesz³y, l.m: Oni/One urzynali/urzyna³y', 'Czas terazniejszy, l.poj: Ja urzujê', 'Czas terazniejszy, l.poj: Ty urzujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono urzuje', 'Czas terazniejszy, l.m: My urzujemy', 'Czas terazniejszy, l.m: Wy urzujecie', 'Czas terazniejszy, l.m: Oni/One urzuj¹', 'Czas przysz³y, l.poj: Ja urzam', 'Czas przysz³y, l.poj: Ty urzasz', 'Czas przysz³y, l.poj: On/Ona/Ono urza', 'Czas przysz³y, l.m: My urzamy', 'Czas przysz³y, l.m: Wy urzacie', 'Czas przysz³y, l.m: Oni/One urzaj¹']"
"['Odmiana wyrazu: wp³ukaæ', 'Czas przesz³y, l.poj: Ja wp³uka³em/wp³uka³am/wp³uka³om', 'Czas przesz³y, l.poj: Ty wp³uka³eœ/wp³uka³aœ/wp³uka³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wp³uka³/wp³uka³a/wp³uka³o', 'Czas przesz³y, l.m: My wp³ukaliœmy/wp³uka³œmy', 'Czas przesz³y, l.m: Wy wp³ukaliœcie/wp³uka³yœcie', 'Czas przesz³y, l.m: Oni/One wp³ukali/wp³uka³y', 'Czas terazniejszy, l.poj: Ja wp³ujê', 'Czas terazniejszy, l.poj: Ty wp³ujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wp³uje', 'Czas terazniejszy, l.m: My wp³ujemy', 'Czas terazniejszy, l.m: Wy wp³ujecie', 'Czas terazniejszy, l.m: Oni/One wp³uj¹', 'Czas przysz³y, l.poj: Ja wp³am', 'Czas przysz³y, l.poj: Ty wp³asz', 'Czas przysz³y, l.poj: On/Ona/Ono wp³a', 'Czas przysz³y, l.m: My wp³amy', 'Czas przysz³y, l.m: Wy wp³acie', 'Czas przysz³y, l.m: Oni/One wp³aj¹']"
"['Odmiana wyrazu: wtrawiæ', 'Czas przesz³y, l.poj: Ja wtrawi³em/wtrawi³am/wtrawi³om', 'Czas przesz³y, l.poj: Ty wtrawi³eœ/wtrawi³aœ/wtrawi³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wtrawi³/wtrawi³a/wtrawi³o', 'Czas przesz³y, l.m: My wtrawiliœmy/wtrawi³œmy', 'Czas przesz³y, l.m: Wy wtrawiliœcie/wtrawi³yœcie', 'Czas przesz³y, l.m: Oni/One wtrawili/wtrawi³y', 'Czas terazniejszy, l.poj: Ja wtrujê', 'Czas terazniejszy, l.poj: Ty wtrujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wtruje', 'Czas terazniejszy, l.m: My wtrujemy', 'Czas terazniejszy, l.m: Wy wtrujecie', 'Czas terazniejszy, l.m: Oni/One wtruj¹', 'Czas przysz³y, l.poj: Ja wtram', 'Czas przysz³y, l.poj: Ty wtrasz', 'Czas przysz³y, l.poj: On/Ona/Ono wtra', 'Czas przysz³y, l.m: My wtramy', 'Czas przysz³y, l.m: Wy wtracie', 'Czas przysz³y, l.m: Oni/One wtraj¹']"
"['Odmiana wyrazu: wyd³utowaæ', 'Czas przesz³y, l.poj: Ja wyd³utowa³em/wyd³utowa³am/wyd³utowa³om', 'Czas przesz³y, l.poj: Ty wyd³utowa³eœ/wyd³utowa³aœ/wyd³utowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wyd³utowa³/wyd³utowa³a/wyd³utowa³o', 'Czas przesz³y, l.m: My wyd³utowaliœmy/wyd³utowa³œmy', 'Czas przesz³y, l.m: Wy wyd³utowaliœcie/wyd³utowa³yœcie', 'Czas przesz³y, l.m: Oni/One wyd³utowali/wyd³utowa³y', 'Czas terazniejszy, l.poj: Ja wyd³utujê', 'Czas terazniejszy, l.poj: Ty wyd³utujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wyd³utuje', 'Czas terazniejszy, l.m: My wyd³utujemy', 'Czas terazniejszy, l.m: Wy wyd³utujecie', 'Czas terazniejszy, l.m: Oni/One wyd³utuj¹', 'Czas przysz³y, l.poj: Ja wyd³utam', 'Czas przysz³y, l.poj: Ty wyd³utasz', 'Czas przysz³y, l.poj: On/Ona/Ono wyd³uta', 'Czas przysz³y, l.m: My wyd³utamy', 'Czas przysz³y, l.m: Wy wyd³utacie', 'Czas przysz³y, l.m: Oni/One wyd³utaj¹']"
"['Odmiana wyrazu: wymydliæ', 'Czas przesz³y, l.poj: Ja wymydli³em/wymydli³am/wymydli³om', 'Czas przesz³y, l.poj: Ty wymydli³eœ/wymydli³aœ/wymydli³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wymydli³/wymydli³a/wymydli³o', 'Czas przesz³y, l.m: My wymydliliœmy/wymydli³œmy', 'Czas przesz³y, l.m: Wy wymydliliœcie/wymydli³yœcie', 'Czas przesz³y, l.m: Oni/One wymydlili/wymydli³y', 'Czas terazniejszy, l.poj: Ja wymyujê', 'Czas terazniejszy, l.poj: Ty wymyujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wymyuje', 'Czas terazniejszy, l.m: My wymyujemy', 'Czas terazniejszy, l.m: Wy wymyujecie', 'Czas terazniejszy, l.m: Oni/One wymyuj¹', 'Czas przysz³y, l.poj: Ja wymyam', 'Czas przysz³y, l.poj: Ty wymyasz', 'Czas przysz³y, l.poj: On/Ona/Ono wymya', 'Czas przysz³y, l.m: My wymyamy', 'Czas przysz³y, l.m: Wy wymyacie', 'Czas przysz³y, l.m: Oni/One wymyaj¹']"
"['Odmiana wyrazu: wypogodnieæ', 'Czas przesz³y, l.poj: Ja wypogodnie³em/wypogodnie³am/wypogodnie³om', 'Czas przesz³y, l.poj: Ty wypogodnie³eœ/wypogodnie³aœ/wypogodnie³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wypogodnie³/wypogodnie³a/wypogodnie³o', 'Czas przesz³y, l.m: My wypogodnieliœmy/wypogodnie³œmy', 'Czas przesz³y, l.m: Wy wypogodnieliœcie/wypogodnie³yœcie', 'Czas przesz³y, l.m: Oni/One wypogodnieli/wypogodnie³y', 'Czas terazniejszy, l.poj: Ja wypogodujê', 'Czas terazniejszy, l.poj: Ty wypogodujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wypogoduje', 'Czas terazniejszy, l.m: My wypogodujemy', 'Czas terazniejszy, l.m: Wy wypogodujecie', 'Czas terazniejszy, l.m: Oni/One wypogoduj¹', 'Czas przysz³y, l.poj: Ja wypogodam', 'Czas przysz³y, l.poj: Ty wypogodasz', 'Czas przysz³y, l.poj: On/Ona/Ono wypogoda', 'Czas przysz³y, l.m: My wypogodamy', 'Czas przysz³y, l.m: Wy wypogodacie', 'Czas przysz³y, l.m: Oni/One wypogodaj¹']"
"['Odmiana wyrazu: wyszeleœciæ', 'Czas przesz³y, l.poj: Ja wyszeleœci³em/wyszeleœci³am/wyszeleœci³om', 'Czas przesz³y, l.poj: Ty wyszeleœci³eœ/wyszeleœci³aœ/wyszeleœci³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wyszeleœci³/wyszeleœci³a/wyszeleœci³o', 'Czas przesz³y, l.m: My wyszeleœciliœmy/wyszeleœci³œmy', 'Czas przesz³y, l.m: Wy wyszeleœciliœcie/wyszeleœci³yœcie', 'Czas przesz³y, l.m: Oni/One wyszeleœcili/wyszeleœci³y', 'Czas terazniejszy, l.poj: Ja wyszeleujê', 'Czas terazniejszy, l.poj: Ty wyszeleujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wyszeleuje', 'Czas terazniejszy, l.m: My wyszeleujemy', 'Czas terazniejszy, l.m: Wy wyszeleujecie', 'Czas terazniejszy, l.m: Oni/One wyszeleuj¹', 'Czas przysz³y, l.poj: Ja wyszeleam', 'Czas przysz³y, l.poj: Ty wyszeleasz', 'Czas przysz³y, l.poj: On/Ona/Ono wyszelea', 'Czas przysz³y, l.m: My wyszeleamy', 'Czas przysz³y, l.m: Wy wyszeleacie', 'Czas przysz³y, l.m: Oni/One wyszeleaj¹']"
"['Odmiana wyrazu: wzywaæ', 'Czas przesz³y, l.poj: Ja wzywa³em/wzywa³am/wzywa³om', 'Czas przesz³y, l.poj: Ty wzywa³eœ/wzywa³aœ/wzywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono wzywa³/wzywa³a/wzywa³o', 'Czas przesz³y, l.m: My wzywaliœmy/wzywa³œmy', 'Czas przesz³y, l.m: Wy wzywaliœcie/wzywa³yœcie', 'Czas przesz³y, l.m: Oni/One wzywali/wzywa³y', 'Czas terazniejszy, l.poj: Ja wzujê', 'Czas terazniejszy, l.poj: Ty wzujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono wzuje', 'Czas terazniejszy, l.m: My wzujemy', 'Czas terazniejszy, l.m: Wy wzujecie', 'Czas terazniejszy, l.m: Oni/One wzuj¹', 'Czas przysz³y, l.poj: Ja wzam', 'Czas przysz³y, l.poj: Ty wzasz', 'Czas przysz³y, l.poj: On/Ona/Ono wza', 'Czas przysz³y, l.m: My wzamy', 'Czas przysz³y, l.m: Wy wzacie', 'Czas przysz³y, l.m: Oni/One wzaj¹']"
"['Odmiana wyrazu: zachrzypieæ', 'Czas przesz³y, l.poj: Ja zachrzypie³em/zachrzypie³am/zachrzypie³om', 'Czas przesz³y, l.poj: Ty zachrzypie³eœ/zachrzypie³aœ/zachrzypie³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono zachrzypie³/zachrzypie³a/zachrzypie³o', 'Czas przesz³y, l.m: My zachrzypieliœmy/zachrzypie³œmy', 'Czas przesz³y, l.m: Wy zachrzypieliœcie/zachrzypie³yœcie', 'Czas przesz³y, l.m: Oni/One zachrzypieli/zachrzypie³y', 'Czas terazniejszy, l.poj: Ja zachrzyujê', 'Czas terazniejszy, l.poj: Ty zachrzyujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono zachrzyuje', 'Czas terazniejszy, l.m: My zachrzyujemy', 'Czas terazniejszy, l.m: Wy zachrzyujecie', 'Czas terazniejszy, l.m: Oni/One zachrzyuj¹', 'Czas przysz³y, l.poj: Ja zachrzyam', 'Czas przysz³y, l.poj: Ty zachrzyasz', 'Czas przysz³y, l.poj: On/Ona/Ono zachrzya', 'Czas przysz³y, l.m: My zachrzyamy', 'Czas przysz³y, l.m: Wy zachrzyacie', 'Czas przysz³y, l.m: Oni/One zachrzyaj¹']"
"['Odmiana wyrazu: zamrugaæ', 'Czas przesz³y, l.poj: Ja zamruga³em/zamruga³am/zamruga³om', 'Czas przesz³y, l.poj: Ty zamruga³eœ/zamruga³aœ/zamruga³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono zamruga³/zamruga³a/zamruga³o', 'Czas przesz³y, l.m: My zamrugaliœmy/zamruga³œmy', 'Czas przesz³y, l.m: Wy zamrugaliœcie/zamruga³yœcie', 'Czas przesz³y, l.m: Oni/One zamrugali/zamruga³y', 'Czas terazniejszy, l.poj: Ja zamrujê', 'Czas terazniejszy, l.poj: Ty zamrujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono zamruje', 'Czas terazniejszy, l.m: My zamrujemy', 'Czas terazniejszy, l.m: Wy zamrujecie', 'Czas terazniejszy, l.m: Oni/One zamruj¹', 'Czas przysz³y, l.poj: Ja zamram', 'Czas przysz³y, l.poj: Ty zamrasz', 'Czas przysz³y, l.poj: On/Ona/Ono zamra', 'Czas przysz³y, l.m: My zamramy', 'Czas przysz³y, l.m: Wy zamracie', 'Czas przysz³y, l.m: Oni/One zamraj¹']"
"['Odmiana wyrazu: zawalcowaæ', 'Czas przesz³y, l.poj: Ja zawalcowa³em/zawalcowa³am/zawalcowa³om', 'Czas przesz³y, l.poj: Ty zawalcowa³eœ/zawalcowa³aœ/zawalcowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono zawalcowa³/zawalcowa³a/zawalcowa³o', 'Czas przesz³y, l.m: My zawalcowaliœmy/zawalcowa³œmy', 'Czas przesz³y, l.m: Wy zawalcowaliœcie/zawalcowa³yœcie', 'Czas przesz³y, l.m: Oni/One zawalcowali/zawalcowa³y', 'Czas terazniejszy, l.poj: Ja zawalcujê', 'Czas terazniejszy, l.poj: Ty zawalcujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono zawalcuje', 'Czas terazniejszy, l.m: My zawalcujemy', 'Czas terazniejszy, l.m: Wy zawalcujecie', 'Czas terazniejszy, l.m: Oni/One zawalcuj¹', 'Czas przysz³y, l.poj: Ja zawalcam', 'Czas przysz³y, l.poj: Ty zawalcasz', 'Czas przysz³y, l.poj: On/Ona/Ono zawalca', 'Czas przysz³y, l.m: My zawalcamy', 'Czas przysz³y, l.m: Wy zawalcacie', 'Czas przysz³y, l.m: Oni/One zawalcaj¹']"
"['Odmiana wyrazu: zbli¿yæ', 'Czas przesz³y, l.poj: Ja zbli¿y³em/zbli¿y³am/zbli¿y³om', 'Czas przesz³y, l.poj: Ty zbli¿y³eœ/zbli¿y³aœ/zbli¿y³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono zbli¿y³/zbli¿y³a/zbli¿y³o', 'Czas przesz³y, l.m: My zbli¿yliœmy/zbli¿y³œmy', 'Czas przesz³y, l.m: Wy zbli¿yliœcie/zbli¿y³yœcie', 'Czas przesz³y, l.m: Oni/One zbli¿yli/zbli¿y³y', 'Czas terazniejszy, l.poj: Ja zblujê', 'Czas terazniejszy, l.poj: Ty zblujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono zbluje', 'Czas terazniejszy, l.m: My zblujemy', 'Czas terazniejszy, l.m: Wy zblujecie', 'Czas terazniejszy, l.m: Oni/One zbluj¹', 'Czas przysz³y, l.poj: Ja zblam', 'Czas przysz³y, l.poj: Ty zblasz', 'Czas przysz³y, l.poj: On/Ona/Ono zbla', 'Czas przysz³y, l.m: My zblamy', 'Czas przysz³y, l.m: Wy zblacie', 'Czas przysz³y, l.m: Oni/One zblaj¹']"
